gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b0953,1242385,1044063,907745,142246,254321,686793
b0474,502889,790868,832860,661774,774907,702453
b2911,1319724,781632,756389,389751,449120,554513
b0172,816342,741678,731284,749140,633161,574939
b1288,546057,560876,549430,919674,828426,796437
b3731,236305,330187,313948,1886405,590024,795773
b4037,19332,31499,95735,232593,3717668,46732
b0163,992112,908640,926640,339785,390625,580886
b3964,754105,814689,702320,346887,857107,660319
b0919,924802,949862,1074511,195478,511459,443476
b2606,183376,351761,482366,1559352,1046047,475689
b2741,1025041,826455,734523,559932,263326,668827
b3229,730794,682565,653111,560780,756410,688324
b2217,836470,745971,805519,428080,619796,626813
b0145,683875,705323,734137,674835,554346,706811
b3163,934805,767390,738272,498788,607774,512144
b3185,224797,379575,512939,1068756,1204996,644193
b4217,740053,711260,650138,586112,669503,638168
b3936,348430,577858,860213,758318,919071,519935
b2463,816629,832781,658267,527505,329677,811435
b3929,828826,884335,953877,316967,466420,524550
b0963,692463,720441,741192,483261,815760,518980
b2530,859368,959484,753882,497566,414183,476046
b1088,340749,474476,666453,919834,972382,584463
b0460,823465,947940,1177880,242863,254688,502666
b3097,885243,476255,429328,729658,599994,777005
b3649,892918,867608,778659,301048,460471,576990
b1241,365941,291889,260784,1332670,824094,767075
b3233,839007,650583,708670,481910,582917,577107
b1739,642216,355659,274256,845564,702129,1016677
b1108,817790,815901,827518,362010,434626,560640
b2172,1262470,1040997,1168915,108015,120629,110811
b4232,623965,725141,712331,660351,444016,643103
b2903,780705,796085,621770,408460,602925,568100
b3603,1013528,1116407,574379,873322,34620,155243
b2266,623908,306334,194537,1017251,661070,958616
b3605,513163,544461,314133,1307207,142191,926939
b3783,568727,637351,618244,578517,730100,597257
b2416,631277,515779,476455,720836,729810,651046
b4226,494658,612965,596090,960557,592793,458586
b2878,1052131,841150,991941,8304,432360,384710
b3430,754921,747354,727138,353279,456630,655900
b0683,661362,720650,723859,557373,592271,437366
b4383,711042,620339,475491,500716,528425,741683
b2289,709267,772190,862313,190939,478013,543337
b4376,545725,261218,135464,1303365,340474,945707
b2478,652793,660072,646825,441963,539453,578353
b1426,1214403,797454,933107,65360,192655,316365
b1095,449227,565849,569225,659327,701652,554198
b2151,1130184,1099401,931234,91707,71639,157589
b0674,752041,864731,859507,142645,148462,707894
b3414,503145,446879,353938,987852,486061,648651
b1902,722976,662438,831226,286438,514498,403667
b0221,1664355,1048244,538316,80648,10993,65810
b1244,641591,644537,485453,422341,537626,670247
b0080,796700,805741,755687,212055,381228,436992
b1190,1100501,776598,494709,521670,67601,418409
b3988,91439,215447,192110,1687828,735785,451942
b3932,176616,302535,184432,1181195,866660,647818
b0912,747198,560140,576641,376252,510257,568063
b0095,484629,613404,543964,482969,505212,703975
b2609,224426,359622,413230,1005506,738148,536508
b1778,803073,920669,1036666,229413,67926,213522
b2529,662319,772149,671514,460436,318361,386259
b3179,492197,503599,499117,564317,605930,588323
b3032,802434,727665,737494,245989,378284,358669
b3687,62168,134880,113639,1265765,1158496,505816
b2029,321496,436444,399999,860816,667293,530857
