gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b0605,1381282.1766763052,1549552.0598966496,1741763.0861737598,4609571.856634961,3241795.9058282967,2522432.4080401845
b4014,3430487.293642287,3397188.3758999784,2217813.7078766976,2533655.0972003536,647530.49097092,1046720.9109735567
b0723,3086348.812892675,3543776.25455268,2454581.443135232,2411113.3593609175,206655.50266591652,1300675.1087192174
b3299,1188131.7622472188,1621143.3694441228,1881905.007712522,4527486.275940501,3301305.777761636,2058578.9798394581
b3308,623395.6830368132,1259184.3093933237,1730032.213071713,5841600.767404445,3785292.724189258,1879678.2509098335
b2150,1810062.187319335,2862914.5450330703,1843683.8084254651,3372634.5421420587,784110.9119557512,2943043.1864272575
b1712,2424425.3725129077,1794016.8012993885,2309790.809161017,2295649.067251899,2209429.715618855,2332465.709303917
b1205,3450669.989975022,2773458.0272876928,2494295.578231398,941858.8561400815,970933.3320549767,1441517.8094341038
b0728,1818213.0270065619,1523382.2818436476,755079.2102941967,4810349.1908604065,1026570.0807277173,3830796.9606566676
b3310,665443.8145608329,1306374.627894994,1629892.2438559968,5498526.708059217,3373780.755690449,1962188.9214201972
b1324,1993820.2434333388,2019768.2355911608,2032820.577963287,2578887.8450466623,1401047.1525319964,3012731.754308765
b3566,1440605.9577648737,2054258.2039559472,1692936.2862974918,702408.1032663876,4196909.754550363,3039142.6769761764
b4154,1361319.3081535432,1621725.9205935067,1615724.2087521397,1870456.8002265452,4136009.2885295553,2800638.4182926123
b3342,373271.53286136274,829161.4064551223,1126765.4486449473,6098129.789654544,3851034.299168223,2093484.2406143164
b4138,1800750.40645773,2150033.655856393,2507570.4514892586,895507.655225182,2506264.8907160093,2261512.004673073
b0734,1771877.8620353779,1863163.9688005506,1453263.4539327992,1487006.1935813625,2240608.2988431538,3503441.5011825366
b1136,1530438.866117303,2380926.976949352,1911357.994449066,2414801.5138204712,1134594.923634562,2503016.323594586
b1719,1766568.3554649577,2036760.5359153827,2720882.939642371,1463074.952135915,1783667.1088993987,1661848.8506211238
b0729,1535218.7519498162,1168182.2852863313,638516.0187356151,4623872.916991575,1050262.1209106522,3391128.5355618633
b2417,1479132.9328024543,1470718.3715487914,1601658.3023416917,2285550.362648917,2346516.55838936,2744420.958648171
b0432,2593342.313384913,3270970.4916174533,2723496.505750979,1513171.7310051383,187661.73452723082,431651.2969933939
b1060,3013428.564411458,2096106.3262706804,2219832.14223553,1096361.9891367957,1366553.80852874,1009924.8381081143
b0903,567036.0570087017,723634.1953300529,826806.9770034752,3166681.2629107437,4927696.459274249,2556730.0214073565
b3117,405784.1441869365,782389.1648824264,413148.6309895483,142975.36642161262,8025950.710387831,2757720.2712830636
b3357,1983873.2306083948,2172225.7305565826,2283728.495045658,1361371.4175008996,1510997.3426006928,1714725.840223311
b3637,961283.5438515998,1255402.3211742952,1566582.666811638,3881710.789311718,3212311.297574726,1365877.9025439832
b3297,481617.6978793286,902361.6230413514,1145904.36578983,5464560.710902691,3078396.3786692703,1637110.2839081998
b4153,1234043.7000113013,1426140.3447154153,1461053.0879119185,1342828.849007857,3751959.7825527093,2302921.107596867
b1089,629305.2178287617,1221136.5523054863,1829819.3740738335,3266787.3803276084,3039898.879195136,1811991.8441203185
b0116,1193462.3910627253,1596495.2076425087,1216304.459484789,2969354.5586892124,1425030.7688945618,2832934.931034472
b3744,1559903.6157074475,3357197.2502302052,2997013.858668811,60721.430481122115,170845.93420805258,1674171.4734436623
b3321,143211.95090723853,401499.94902783027,687619.4945267552,6524152.087195211,3786272.514590446,1082554.0800934855
b0607,2046119.7045726213,2246924.5921343653,2413506.211088722,624467.454830789,793475.5833444519,1817283.5728539214
b3305,383766.9417531793,860141.3663173114,1078673.0469185582,5752090.589852095,2748340.4066200405,1261391.1810223055
b3986,398652.6484014714,759038.4198362223,991693.7525126177,6061052.483145018,2724027.4390262323,1225488.0211014913
b4000,1085584.826963528,1432445.4961145832,1332788.7334166453,2949779.6723697344,1924081.6976228536,2326511.1888952637
b3303,316860.2746785957,802199.5793630527,1037641.4516774138,6481311.549937848,2443591.358210161,1078722.6139783538
b2426,1850790.569678142,2355766.0966282487,2342813.657953546,668631.3426267176,1641621.1101344484,1113363.8185498721
b4401,1891476.7075467764,2001763.3621334673,1870508.3739707235,1633736.273513285,1320676.0083459008,1506492.6029226521
b0929,905964.3839703366,1849396.8333569875,1548744.4978437214,3148832.996672649,1831195.2066495393,1485801.8375275964
b3341,284754.4621472784,667113.8699343066,834475.9134358382,5362081.959088279,3133523.164145248,1523702.9166736829
b0836,2696392.271023809,2186827.1821573074,2544285.7167698634,330289.50128231745,510574.6804106938,988379.3365689134
b3116,365374.1601151725,779775.0355133455,366074.73086924903,81529.61685873105,7180916.9034743775,2300592.3227674095
b0096,1500915.4436241407,1726278.2314512318,1813445.3591923378,1507567.7199473453,1789904.714296839,1666953.9372190326
b3312,227692.32589370105,551321.2622147307,883690.8023470611,7484616.155640811,2021285.1687132076,672025.1584339404
b4243,1105047.0200472053,1543596.9904973481,1643115.1243244852,1867601.2864411583,1802780.104544735,2131995.0881014494
b0724,1868972.9111706584,1998970.0569376831,1483849.1407235179,2501462.702984568,232007.28417905598,1588268.37002372
b0118,1713607.0639796348,1809176.9139392704,1376487.7444411046,2159353.0973355924,845798.7517085976,1846038.1268843114
b3301,287863.343701846,734630.0779872725,881182.1502598644,6090526.3969152095,2252729.368529171,998411.3513624775
b3113,416199.7579306489,1863985.4210522056,1017143.2944675212,18044.028152083614,5291963.642910007,1549785.0946702692
b3295,351039.1964498738,670952.8268777229,802435.3569853723,5365528.673853912,2513030.1663656556,1267501.590032931
b3984,307897.40201360296,650199.6718935195,985418.4085239564,5560863.826870462,2302068.307815965,1016443.5267905708
b3296,341994.18172065617,636173.4206390315,807214.0513942551,5095621.282401803,2574179.7116330303,1262202.4380325675
b3340,225738.9093758965,480820.6280841639,586558.5101850217,5790903.651998989,2598032.2957853163,1256900.1046321637
b4034,94254.4983238475,229245.82233768256,380223.26867709175,826818.7148447057,8465773.899599511,527090.1168006223
b2592,226685.49887791634,431534.4118352623,244964.0271259562,4894834.812620372,2445625.3086453974,2291757.574855657
b2239,1219661.015718215,1586590.9192525886,1353973.009757714,718163.0221042259,2354815.265040383,1746202.612221468
b2935,778641.055200307,1273488.972316997,1160155.032291082,2184539.825189423,2020410.4401743158,2024017.310268946
b0880,1958909.083832399,1403164.4906296981,1399212.3071673173,690933.8449477763,1062123.487116837,2070702.2349261416
b3565,440513.80894120794,1079498.520721761,821578.9163435919,659459.2444166176,4733479.5728219645,1797556.771671059
b0882,1814973.5004546081,2263170.7859391873,1987803.178351182,505944.05654583476,613527.0421682573,1049056.0586030944
b4151,942755.4233839653,1033198.568251247,1202190.2740556386,1051150.1225613125,3050650.603260217,1851557.8559541318
b3186,362892.6874702081,757564.5838052889,947618.7222078793,2892219.144259822,3042656.457962816,1587820.853084726
b2572,1938128.7061942562,1777494.0335261684,1253842.3249686717,631154.6818126548,1629241.5174389607,982105.6156895556
b2415,889988.9259366614,963305.2942306846,919645.6730831013,2645801.877406971,2072201.2164048043,1659554.000725429
b2323,790967.0586662777,1234540.7418436764,1253305.6851069396,1844727.1593312516,1872812.6892927566,1885609.441051525
b3510,1796532.9981888134,1148898.3720810947,1126554.6921594574,229101.47302080647,1170933.3428149945,2704408.490342044
b4036,60058.36583435087,225893.8561027417,464216.69146481436,885923.1519162783,8040862.412011689,174239.97787066986
b4252,1155019.1227001166,1630605.6907948414,1996039.3932532996,790512.7102762973,1574132.439018426,1191643.2270067136
b4152,966402.167910869,1154829.551370169,1199826.4590245495,1026674.6629949753,2687637.079149833,1679688.0211134425
b2997,1054584.4119250653,1453648.8877915281,1490626.7721952188,627747.1194298188,2002712.8284940687,1809146.6120176618
b4002,3564245.866415304,1902864.7377460247,1586854.2840106955,1876.7042154416488,9041.222509272455,67993.94212673831
b2957,733271.2550601086,1584812.024891063,1676005.2058155823,535571.9696883635,1763288.6490250586,2143815.04971763
b0169,355407.58965588926,704188.5644555864,977583.2808541366,4008152.104477816,2283225.6398837273,1170087.1208007121
