gene_id,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b2569,7.282899742782586,7.990004388297966,0.70710464551538,0.04726171077072161,0.14285700894555575,False
b2585,7.945233427392104,7.343113125435579,-0.6021203019565249,0.09802880685013135,0.21315566140668096,False
b3608,7.375143464073235,7.929096717585973,0.5539532535127378,0.06884613934357245,0.17436877729907063,False
b2834,7.592571229704767,7.78775382282615,0.19518259312138309,0.1317160565305511,0.25668330946987117,False
b2990,8.005724268514248,7.100369888691179,-0.905354379823069,0.1922288180088416,0.32828117778678884,False
b2398,8.314951042380313,6.5051254733481985,-1.8098255690321148,0.0019637675980382074,0.045936565720963767,True
b4618,8.023132215466704,7.167849632997966,-0.855282582468738,0.06634129752633447,0.17072232987281485,False
b0391,7.9066894361627185,7.400140917100448,-0.50654851906227,0.0880838179638171,0.1997575416986413,False
b1928,7.799347524473429,7.55543698975189,-0.24391053472153956,0.08339239808809237,0.19361877010830758,False
b3963,7.907690583158208,7.393009400096486,-0.5146811830617217,0.049012601420619716,0.14509799154072645,False
b3912,7.752541392511046,7.594380550405314,-0.15816084210573145,0.29666704677608613,0.4402915694216516,False
b1127,7.241998690781014,8.002012132645484,0.7600134418644702,0.003967547669669748,0.05741336260481983,False
b2684,7.798222312565701,7.475694930884148,-0.32252738168155304,0.34345483082807426,0.48717613171820395,False
b1440,7.363441817686422,7.747405097412375,0.3839632797259531,0.5550518884196949,0.6738092710921262,False
b3408,8.103582487857631,6.925032096749608,-1.1785503911080228,0.04939766139790413,0.14585309496960114,False
b3204,7.72225084541169,7.615848576754864,-0.10640226865682578,0.29697096559755115,0.4405969235047304,False
b1847,7.3840060918807024,7.838694796285632,0.4546887044049299,0.22152370593070744,0.36244928626212725,False
b0224,7.619115804628596,7.641490207427406,0.022374402798810422,0.9450083957367746,0.9631894520483552,False
b0965,7.71322578732961,7.571443613783117,-0.1417821735464928,0.5379993269815162,0.6626072940430968,False
b0801,8.050033536473938,6.964833759372714,-1.0851997771012245,0.07446101335059917,0.1811279284105632,False
b3202,7.650928805009701,7.651480681660914,0.0005518766512127016,0.9936447968410504,0.9961524613060714,False
b3564,7.400082694162793,7.388041385306689,-0.012041308856104216,0.9898060737723597,0.9938251984629495,False
b2281,6.765123597887577,8.140081092236327,1.3749574943487506,0.00957310631241981,0.07294414453334484,False
b2512,7.553140914507053,7.725617189071895,0.1724762745648416,0.3545590648920733,0.498322417356776,False
b0098,6.625745388942199,8.22691046353682,1.601165074594621,0.002817148486391188,0.050993211542904045,False
b0189,7.932402217118034,7.263790792614145,-0.6686114245038892,0.021608471708301265,0.0984556558648285,False
b2553,8.25398559670846,6.459522045832972,-1.7944635508754887,0.010018202843287536,0.07362116753639561,False
b0710,7.793791951724146,7.398287481011309,-0.39550447071283745,0.2883190803121856,0.43268697211778473,False
b2703,2.91246488011974,7.861455186698355,4.948990306578615,0.014959393892153621,0.08278106132194761,False
b1864,6.866761781172246,8.094372062100147,1.2276102809279008,0.014578025629416777,0.08278106132194761,False
b3511,7.833266772641454,6.4818665319763795,-1.3514002406650745,0.3578791636946193,0.5011424919380504,False
b0174,7.67689100231545,7.572438809237068,-0.10445219307838283,0.5652211411459632,0.6804471892280198,False
b2947,8.052858636978952,7.015247379528616,-1.0376112574503358,0.0012325013283361666,0.04333597425223601,True
b0271,7.699170688002109,7.295445913903873,-0.4037247740982357,0.5858211059984227,0.6968367674850043,False
b1792,7.557146825053766,7.68282983395715,0.12568300890338424,0.4515659121274539,0.5917161499643834,False
b4123,6.559498580503335,7.764298598141977,1.2048000176386422,0.281227473196794,0.4255654422013384,False
b2507,7.561200123827859,7.653664760649711,0.0924646368218518,0.7210030198580242,0.7983867636621792,False
b0918,7.759234326812925,7.4628742045537075,-0.2963601222592178,0.0890357690349952,0.20072095603053136,False
b0051,7.451060347468663,7.7671843684599216,0.3161240209912588,0.0504481981073689,0.14778819393333656,False
b3844,8.090135141933985,6.883489224728713,-1.2066459172052717,0.0020842179218199908,0.0468876333152545,True
b0742,7.252127796267203,7.848339911172263,0.5962121149050601,0.12273883565673409,0.24536832713916373,False
b0187,6.154890546886922,8.25181864105105,2.096928094164128,0.0027400246654376227,0.05038518155255034,False
b2278,6.812767508148998,8.074024814074967,1.2612573059259695,0.006297663278202332,0.06438717404470361,False
b3431,7.73671186319336,7.421730636686082,-0.3149812265072782,0.08982978981652005,0.20157357697999148,False
b2498,6.939715028888532,7.979563598157209,1.0398485692686767,0.049951641144212834,0.14700522324932933,False
b0185,7.340965913294316,7.779808994297398,0.4388430810030819,0.09779496826262322,0.21301523255910684,False
b4135,7.634381731140966,7.488032296705796,-0.14634943443516946,0.6083979987891159,0.7141196391643163,False
b0424,8.029914046827107,6.928459426602987,-1.1014546202241204,0.001389203711590466,0.044841133131615835,True
b3540,7.489211825175807,7.585183800227958,0.09597197505215149,0.8087043170511757,0.8695412014675794,False
b2513,7.583945921293293,7.535305915004808,-0.04864000628848508,0.862544832585149,0.9087092039066077,False
b4219,7.823694566662092,7.181368149495188,-0.6423264171669043,0.13833420074705888,0.264301359281737,False
b3291,7.663896669997089,7.447388699021457,-0.21650797097563235,0.4091282646204002,0.5528960107245878,False
b3255,7.222426949965776,7.72588771829927,0.5034607683334942,0.35520602335234414,0.4989560666057341,False
b4613,7.974323377399748,6.943680649000226,-1.0306427283995223,0.03023305254019146,0.1131489595410116,False
b0186,4.852821624932784,8.3758180132727,3.522996388339915,0.002517213576747644,0.048774353841941995,True
b0414,7.709977506746092,7.413840613063724,-0.29613689368236784,0.08719704818433414,0.19861566110605888,False
b1274,6.382859330633977,8.122051927163978,1.7391925965300015,0.010779204303654434,0.07524071192293993,False
b0529,7.82151884472654,7.218298432736792,-0.6032204119897475,0.0899159266771557,0.20157357697999148,False
b3031,7.990297022861884,6.961136060369377,-1.029160962492507,0.0014095457204878713,0.044841133131615835,True
b3846,8.229514876474312,5.559380307682525,-2.670134568791787,0.012656074986324595,0.07973547845899137,False
b1066,7.919616983538102,7.057879553133733,-0.8617374304043688,0.008599964274278536,0.06985388358499008,False
b4329,8.128460685909625,3.9607603615105105,-4.167700324399114,0.11807280505803101,0.23963850298735057,False
b3946,7.637394461414089,7.275860260575435,-0.36153420083865395,0.5385794819882598,0.6627761763540746,False
b0679,7.374997859720724,7.68714278613428,0.3121449264135556,0.21542416263340083,0.35631728171705374,False
b3739,7.931046151420695,7.020902036792328,-0.9101441146283671,0.0043860627491050805,0.05781406482331286,False
b0156,7.749549776918886,7.321358309920245,-0.42819146699864064,0.010484608494950481,0.07448198402948886,False
b3600,6.78525437051685,8.030000955378048,1.2447465848611978,0.004194468821136845,0.05780735488860081,False
b3055,7.744801197917536,7.1804815696951785,-0.5643196282223579,0.28933803085305865,0.4335235256851995,False
b4233,7.744201658266977,7.3226627279564065,-0.42153893031057077,0.011804677859676321,0.07745525472840253,False
b2913,7.91819006250233,7.013016365142718,-0.9051736973596114,0.01662955385617006,0.08627853240025574,False
b4207,7.310083724681199,7.693174395710252,0.3830906710290529,0.28022656433097304,0.4248054682185832,False
b0125,7.13671896538419,7.827003027126696,0.6902840617425063,0.051286959165623924,0.14956197058825224,False
b0161,7.345440258818633,7.715625326788934,0.3701850679703007,0.0413377860140802,0.13452001842015943,False
b0796,8.125859852594667,6.518746989555702,-1.6071128630389646,0.0016673912821039093,0.045218048242784886,True
b3289,7.835317552042475,7.157503300153682,-0.6778142518887931,0.014853217003200612,0.08278106132194761,False
b3705,6.855057475000803,7.911550425045668,1.0564929500448654,0.06930991133754716,0.1748332912181364,False
b4160,7.662032463240742,7.349683765208515,-0.31234869803222676,0.3156135229404189,0.46019281707491877,False
b0413,7.730251453848268,7.281882257441835,-0.4483691964064329,0.07120176620305398,0.17706584059889663,False
b2867,8.097786462820961,5.963130752037871,-2.1346557107830906,0.10338503149284362,0.22021453314659808,False
b1646,7.128302238794535,7.723112768563517,0.5948105297689823,0.26756163042851117,0.41137944411207883,False
b4453,7.646614420511551,6.894882831029437,-0.7517315894821142,0.37550193651966635,0.5191782782194277,False
b1104,7.338646263340895,7.670073365952736,0.3314271026118414,0.03590527949051864,0.12414706806891189,False
b4381,7.727464775622582,7.196415352708968,-0.5310494229136138,0.1378545647306945,0.2639467945867563,False
b3803,7.528558830861577,7.472796758836754,-0.055762072024823084,0.6953802993787925,0.7802166959030052,False
b4260,7.28116018832995,7.655040510633799,0.37388032230384916,0.2324282515513522,0.37361675965704466,False
b2661,6.877815329763924,7.63984808775519,0.7620327579912667,0.39773651717050107,0.5405940306060596,False
b3712,8.151518207155002,6.219281021898719,-1.932237185256283,0.0006001120990395755,0.037849677220332625,True
b0418,7.9974612052795635,6.645096677577052,-1.3523645277025116,0.009116182763581886,0.07130418266645551,False
b1806,7.838792882959344,6.927987457616504,-0.9108054253428399,0.06966057957765585,0.17534306289653365,False
b3499,7.72441576026105,7.17962017897673,-0.5447955812843199,0.061274538199267974,0.16434311517204553,False
b4391,6.9990992039468445,7.8003697614804075,0.801270557533563,0.048613747775272,0.1444476870977266,False
b2868,8.053494404036154,6.059066316006745,-1.9944280880294096,0.0769055285171285,0.18546588499993158,False
Novel00083,7.216932777371508,7.6652031739314035,0.4482703965598951,0.19849286015624068,0.3352260378740034,False
b0553,5.401586607229199,8.012359879375436,2.610773272146237,0.022599323903615482,0.0998226253078919,False
b0110,8.063147217906034,6.441405067887277,-1.6217421500187568,0.0023813436265481343,0.04814175763940552,True
