gene_id,gene_name,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b1248,yciU,4.961927438345238,4.741335398588273,-0.2205920397569647,0.4165102574162937,0.5598407139113926,False
Novel00206,-,3.832371990242264,5.364857524147926,1.5324855339056622,0.0219906078785828,0.0987704035406948,False
b1065,mdtH,5.134834104803491,4.275124132436168,-0.8597099723673232,0.2357252705832075,0.3773253239052012,False
Novel00019,-,5.382856586482935,3.9388985314621214,-1.4439580550208122,0.0151788143899595,0.0827810613219476,False
b0158,btuF,4.936322997231467,4.774867718936739,-0.1614552782947278,0.3203830447558792,0.4651824991473264,False
b2370,evgS,5.285453522418291,4.216812629528435,-1.0686408928898563,0.013313956915677,0.081024267299225,False
b4221,tamB,4.639125794752244,5.043591560893407,0.4044657661411639,0.0562087697887247,0.1572303961399668,False
b0961,yccF,4.425574723793588,5.150334667384343,0.7247599435907555,0.0920159185221664,0.204060227055546,False
b4063,soxR,4.18571195654717,5.283021985898103,1.0973100293509337,0.0125808538852699,0.0796363003095635,False
b0951,pqiB,4.5332066800683295,5.100863982349927,0.5676573022815976,0.0460826380782885,0.1412697265678681,False
b3955,eptC,4.1728068790751776,5.249298033441691,1.0764911543665132,0.0623016953899928,0.1652118663046506,False
b4236,cybC,4.934471078388911,4.767428226968046,-0.1670428514208648,0.3225287664098447,0.4670890944328437,False
b3362,yhfG,4.93578577537382,4.587230720467377,-0.3485550549064422,0.5133752056679546,0.6427479976110128,False
Novel00164,-,5.31967787974394,3.905577552443388,-1.4141003273005517,0.1116155445509613,0.2308233476052287,False
b0887,cydD,4.778473338837106,4.900855313730215,0.1223819748931092,0.560097063374303,0.6776871735635771,False
b3930,menA,4.374331542206497,5.188528900303354,0.8141973580968571,0.0147787490359573,0.0827810613219476,False
b0465,mscK,4.392339385493098,5.176900023919414,0.7845606384263162,0.0251439088377396,0.1037793229389148,False
b3467,yhhM,4.946587852727316,4.714331256343667,-0.2322565963836496,0.3592518245917885,0.5022643122220842,False
b3789,rffH,4.037647155666559,5.283424096945999,1.2457769412794395,0.0283165468918045,0.1087948281825403,False
b0885,aat,4.927459549268534,4.7368406599497215,-0.1906188893188121,0.3761661690890535,0.5199364850236132,False
b1845,ptrB,4.563628875541964,5.064205239120281,0.5005763635783174,0.043210391381422,0.1375267975241805,False
b3235,degS,4.832982631918555,4.846247776107009,0.0132651441884537,0.9005560708017893,0.9349284399163614,False
b1600,mdtJ,4.481746859815351,4.993953346140285,0.512206486324934,0.3290302972500087,0.4738613892396764,False
b0483,ybaQ,5.142027506764975,4.419153931330866,-0.7228735754341082,0.0102797681534885,0.0738169591565705,False
b2086,yegS,4.310140308534759,5.18216622456325,0.8720259160284911,0.0216319738043815,0.0984627773164951,False
b0978,appC,5.141273924699446,4.126576798733001,-1.0146971259664452,0.2288528455725293,0.3706573695162438,False
b0908,aroA,3.988946771822832,5.318219553256402,1.32927278143357,0.0083140124075224,0.0696143426958226,False
b1722,ydiY,3.284693591263331,5.460975258876168,2.176281667612837,0.0228283392960421,0.1002481279458287,False
b2126,btsS,4.819211537510679,4.802764030325291,-0.0164475071853873,0.9466871938975866,0.9636498358385958,False
b3182,dacB,4.579437976080185,5.024700573976315,0.4452625978961295,0.0634612483060342,0.1666554022220489,False
b1711,btuC,4.7957280741408805,4.826859857806992,0.0311317836661109,0.8945502075976981,0.9310624609690328,False
b1518,lsrG,4.69570188336561,4.8783844883093215,0.1826826049437118,0.5718498130509506,0.6853573213936965,False
Novel00080,-,4.830153611931614,4.760706594324404,-0.0694470176072101,0.8119234294024562,0.871749366305795,False
b4093,phnO,4.725315438006924,4.8474197160916,0.1221042780846755,0.7273689602977862,0.8040472644868139,False
b3447,ggt,4.090264760941342,5.243998181789118,1.153733420847776,0.0409636767355503,0.133978053177817,False
Novel00030,-,4.980025335232745,4.623411647851435,-0.3566136873813104,0.0589588522367564,0.1609533630404885,False
b3772,ilvA,4.685752744341325,4.9120393817888965,0.2262866374475711,0.2941584948081514,0.4379634148400335,False
b1585,ynfC,4.945634914097401,4.666530794625376,-0.2791041194720254,0.043450913719406,0.1375267975241805,False
b0148,hrpB,4.7267547737385645,4.891575050855111,0.1648202771165463,0.1720007071783815,0.3043924186973882,False
Novel00263,-,4.212279929003705,5.099565926543871,0.8872859975401663,0.146230289593261,0.2744799413193458,False
b2731,fhlA,4.032506868938701,5.049127721710652,1.0166208527719505,0.1659560431016768,0.2978051665095265,False
b2037,rfbX,3.656062772867891,5.201428459968732,1.5453656871008403,0.070375151788038,0.1764489839244217,False
b4312,fimB,3.628442220246413,5.336151916749511,1.7077096965030978,0.0136808241213929,0.0818341793843579,False
b0032,carA,5.2393456701731775,3.651883025723034,-1.5874626444501434,0.0486320087354422,0.1444476870977266,False
b0673,metT,5.301965789646293,2.6829806380809877,-2.618985151565306,0.1622708066852542,0.2933030126473704,False
b3954,yijO,5.205319029450325,4.193439119978291,-1.011879909472034,0.0148851244756409,0.0827810613219476,False
Novel00008,-,4.879696220029203,4.703204229501753,-0.1764919905274498,0.251408842781577,0.3943987913892473,False
b0604,dsbG,4.121073573287271,5.239585815996682,1.1185122427094107,0.0094144495056167,0.0725996260734856,False
b4290,fecB,5.353728546617037,3.8015578704598183,-1.5521706761572185,0.0053214818939625,0.0605960941491002,False
b1754,ynjB,4.173231267057069,5.195522417759617,1.0222911507025474,0.0116835481695858,0.0771114179192667,False
Novel00271,-,4.7526370200864525,4.784495608500226,0.0318585884137734,0.9035961571216078,0.9374340159874656,False
b0069,sgrR,4.816691219194003,4.704695885892785,-0.111995333301218,0.7020109250774729,0.7841276833617965,False
b1428,ydcK,4.769329275442376,4.734009817634564,-0.0353194578078124,0.9148705370876142,0.9456067752589244,False
b3630,waaP,3.541939427414288,5.313325083997928,1.7713856565836394,0.0260523315504398,0.1057168752245696,False
Novel00215,-,5.133308920952735,4.194025292316095,-0.9392836286366402,0.0913244268947295,0.2032333778547856,False
b2836,aas,4.899923021263983,4.635721784165843,-0.2642012370981401,0.126109252071344,0.2495700222576777,False
b1291,sapD,4.3557717313711,5.072616072144626,0.7168443407735259,0.039325584978977,0.1305423264686752,False
Novel00096,-,4.496238353234439,4.956788592506245,0.4605502392718064,0.204795272003774,0.3426999182524005,False
b1706,selO,4.497280681477274,4.943172272766635,0.445891591289361,0.2343056196217673,0.3758508558085425,False
b4566,topAI,4.84374171594181,4.67799741121666,-0.1657443047251501,0.4457229054395117,0.5854270996817468,False
Novel00233,-,4.914414926988852,4.612181862935175,-0.3022330640536772,0.0487873409301451,0.1446219194811698,False
b1733,chbG,5.048369612756317,4.406529455252202,-0.6418401575041148,0.015134546613946,0.0827810613219476,False
b3676,yidH,4.904426066369064,4.583995235177546,-0.3204308311915183,0.1927880625407427,0.3286110234268337,False
Novel00009,-,4.892664941539455,4.507714059369433,-0.3849508821700222,0.4024168063638573,0.5457983157935906,False
b2332,yfcO,4.965082575113681,4.523656716667122,-0.4414258584465589,0.024665135199075,0.1027978703244026,False
Novel00005,-,4.987453789663878,4.489681719909123,-0.4977720697547552,0.0219049377833208,0.0987704035406948,False
b1977,asnT,5.319151874761353,3.828673279459972,-1.4904785953013806,0.0007712946289204,0.0385585573283578,True
Novel00141,-,4.782330978615005,4.736973385509162,-0.0453575931058427,0.6194497699024264,0.7228524616022074,False
b3239,yhcO,4.459578849887115,4.71903712089241,0.259458271005295,0.7346285015414116,0.8100768341321511,False
b2307,hisM,5.126169651561514,4.120146872342506,-1.0060227792190082,0.0831131991541509,0.1932704859087198,False
b2821,ptrA,4.6437689779988,4.841896185282072,0.1981272072832718,0.3140806599464996,0.4591511406644593,False
b1870,cmoA,3.6330273720401087,5.315450102393302,1.6824227303531931,0.0133514286959145,0.081024267299225,False
b4777,mdtU,4.40427153996762,4.7547611640625975,0.3504896240949771,0.6288510898042883,0.7302157027274633,False
b4084,alsK,2.9060499425839565,5.193148016201443,2.287098073617486,0.0328798144235127,0.118066949493887,False
b2565,recO,4.211797000220842,5.129820642194409,0.9180236419735676,0.0039062696199773,0.0572919544263338,False
b4581,ybeM,4.772431342262663,4.694802415430115,-0.0776289268325474,0.7548277065341884,0.8270670768860932,False
b3174,leuU,5.177952043424555,3.988105216765078,-1.189846826659477,0.0510947235410783,0.1491647242911867,False
b3398,igaA,5.150649669688639,4.163479272101816,-0.9871703975868228,0.0007150289341197,0.0378496772203326,False
b4310,nanM,2.520152109600544,5.149209882854424,2.6290577732538805,0.0279077611076089,0.1087948281825403,False
b3628,waaB,3.7786384574692935,5.22537208146584,1.446733623996546,0.0249229585148958,0.1032818447043881,False
Novel00197,-,5.155818276949844,3.999367802729071,-1.1564504742207729,0.05983515106494,0.1621629026903309,False
b2965,speC,4.303859025267826,4.967179128749862,0.663320103482036,0.2451300426525631,0.3874437504875523,False
b4326,iraD,4.276370907471043,5.080955639576216,0.8045847321051731,0.0030816085682324,0.0525176985078077,False
b4107,yjdN,4.390475857290678,4.811847329221672,0.4213714719309935,0.5001468518206486,0.6324537028890438,False
b0491,fetB,5.057509460490315,4.260501644876627,-0.7970078156136875,0.036971646449668,0.1264700832820961,False
b4218,paeA,4.811873404943985,4.607128923066877,-0.2047444818771087,0.468010683957118,0.6062989344255363,False
b3402,yhgE,4.587499081526765,4.775916532000803,0.1884174504740379,0.6265312135082919,0.7284642710428015,False
b2442,intZ,4.930616070936551,4.47663708328456,-0.4539789876519906,0.0605285614958275,0.1631544648608252,False
b0995,torR,4.910620079805969,4.507798086813385,-0.4028219929925836,0.0629797429202877,0.1658991147012214,False
b4120,melB,5.191156296158607,3.9370789871145817,-1.2540773090440256,0.0308067538693977,0.1136078154197674,False
b0842,mdfA,4.612930322416756,4.8084728448363965,0.1955425224196405,0.3652473360406227,0.5084460434709412,False
b0980,appA,5.0839207301090745,4.122283091392229,-0.9616376387168452,0.065017748733198,0.1690612145507491,False
b0007,yaaJ,4.729157616304345,4.70156069731276,-0.027596918991585,0.8719472626455164,0.9158201064247782,False
b3660,yicL,4.912381866212197,4.48467922181517,-0.4277026443970273,0.0569837395295275,0.157903352352841,False
b1250,kch,4.980642507278419,4.370453884159951,-0.6101886231184679,0.055961354832764,0.1569716003059032,False
b1303,pspF,5.008434242796011,4.359236864301713,-0.6491973784942981,0.002541596512044,0.0487743538419419,False
b4131,cadA,3.2072986259765988,5.002898592969522,1.7955999669929237,0.1007641274545024,0.217313505053247,False
b3728,pstS,4.535200593237497,4.877275231378598,0.342074638141101,0.0070867641778799,0.0668180622485823,False
b4211,qorB,4.5967903061866,4.818015794610066,0.2212254884234656,0.1552112042705918,0.2847865432405627,False
b3025,qseB,5.100113551472115,4.166680271978355,-0.9334332794937604,0.0031156825281914,0.0525176985078077,False
b4359,opgB,4.215566412709426,5.0012087509728085,0.7856423382633828,0.1629323302588814,0.2941196285121066,False
b4337,mdtM,4.816625813372032,4.546583841648434,-0.2700419717235984,0.3999775310801436,0.5428180101263033,False
b3082,higA,4.674818006817358,4.689148120864125,0.0143301140467668,0.964537332071724,0.9751843988145746,False
b3626,waaJ,3.946152657506639,5.0943870809323455,1.148234423425707,0.0602723600267041,0.1630004444207292,False
Novel00232,-,4.888124113177651,4.417994855924203,-0.4701292572534479,0.2732040386449273,0.4171962318606443,False
b1491,digH,4.800634904233335,4.552649445211519,-0.247985459021816,0.3813471966461274,0.5248347802967862,False
b3884,csqR,4.422723476934864,4.902251353546252,0.4795278766113888,0.0984764321843555,0.2137148102724312,False
